day	month	year	var
14	04	1975	18,0
15	04	1975	NA
16	04	1975	NA
17	04	1975	NA
18	04	1975	NA
19	04	1975	NA
20	04	1975	NA
21	04	1975	NA
22	04	1975	NA
23	04	1975	NA
24	04	1975	NA
25	04	1975	NA
26	04	1975	NA
27	04	1975	NA
28	04	1975	NA
29	04	1975	NA
30	04	1975	NA
01	05	1975	4,0
02	05	1975	NA
03	05	1975	1,0
04	05	1975	NA
05	05	1975	5,2
06	05	1975	7,0
07	05	1975	NA
08	05	1975	NA
09	05	1975	NA
10	05	1975	NA
11	05	1975	NA
12	05	1975	NA
13	05	1975	NA
14	05	1975	NA
15	05	1975	NA
16	05	1975	NA
17	05	1975	NA
18	05	1975	NA
19	05	1975	NA
20	05	1975	NA
21	05	1975	NA
22	05	1975	NA
23	05	1975	NA
24	05	1975	NA
25	05	1975	NA
26	05	1975	NA
27	05	1975	NA
28	05	1975	NA
29	05	1975	NA
30	05	1975	NA
31	05	1975	NA
01	06	1975	NA
02	06	1975	NA
03	06	1975	NA
04	06	1975	NA
05	06	1975	2,2
06	06	1975	NA
07	06	1975	NA
08	06	1975	NA
09	06	1975	NA
10	06	1975	NA
11	06	1975	NA
12	06	1975	NA
13	06	1975	NA
14	06	1975	NA
15	06	1975	NA
16	06	1975	NA
17	06	1975	NA
18	06	1975	NA
19	06	1975	NA
20	06	1975	NA
21	06	1975	NA
22	06	1975	NA
23	06	1975	NA
24	06	1975	NA
25	06	1975	NA
26	06	1975	NA
27	06	1975	NA
28	06	1975	NA
29	06	1975	NA
30	06	1975	NA
01	07	1975	8,2
02	07	1975	NA
03	07	1975	18,4
04	07	1975	NA
05	07	1975	NA
06	07	1975	NA
07	07	1975	NA
08	07	1975	NA
09	07	1975	NA
10	07	1975	NA
11	07	1975	NA
12	07	1975	NA
13	07	1975	NA
14	07	1975	NA
15	07	1975	NA
16	07	1975	NA
17	07	1975	NA
18	07	1975	NA
19	07	1975	NA
20	07	1975	NA
21	07	1975	NA
22	07	1975	NA
23	07	1975	NA
24	07	1975	NA
25	07	1975	NA
26	07	1975	NA
27	07	1975	NA
28	07	1975	NA
29	07	1975	NA
30	07	1975	NA
31	07	1975	NA
01	08	1975	NA
02	08	1975	NA
03	08	1975	NA
04	08	1975	NA
05	08	1975	NA
06	08	1975	NA
07	08	1975	NA
08	08	1975	NA
09	08	1975	NA
10	08	1975	NA
11	08	1975	NA
12	08	1975	NA
13	08	1975	NA
14	08	1975	NA
15	08	1975	NA
16	08	1975	NA
17	08	1975	NA
18	08	1975	NA
19	08	1975	NA
20	08	1975	NA
21	08	1975	NA
22	08	1975	NA
23	08	1975	NA
24	08	1975	NA
25	08	1975	NA
26	08	1975	NA
27	08	1975	NA
28	08	1975	NA
29	08	1975	NA
30	08	1975	NA
31	08	1975	NA
01	09	1975	NA
02	09	1975	NA
03	09	1975	NA
04	09	1975	NA
05	09	1975	NA
06	09	1975	NA
07	09	1975	NA
08	09	1975	NA
09	09	1975	NA
10	09	1975	NA
11	09	1975	NA
12	09	1975	NA
13	09	1975	NA
14	09	1975	NA
15	09	1975	NA
16	09	1975	NA
17	09	1975	NA
18	09	1975	NA
19	09	1975	NA
